datetime,jackpot estimate
2026-04-24 10:55:41,118000000.00
2026-04-24 10:37:00,0.00
2026-04-24 10:36:32,150000000.00
2026-04-22 16:41:23,0.00
2026-04-22 16:40:41,150000000.00
2026-04-22 16:08:23,0.00
2026-04-22 16:05:22,150000000.00
2026-04-22 16:02:16,0.00
2026-04-22 15:40:10,150000000.00
2026-04-22 15:37:52,0.00
